Time,Open,High,Low,Last,Change
04/09/2021,3304.7,3372.2,3288.9,3372.2,72.9
04/08/2021,3310.9,3324.5,3292,3299.3,19.91
04/07/2021,3233.8,3303.612,3223.65,3279.39,55.57
04/06/2021,3223.75,3247.31,3217.04,3223.82,-2.91
04/05/2021,3173,3235.955,3161.24,3226.73,65.73
04/01/2021,3117.94,3162.44,3115.55,3161,66.92
03/31/2021,3064.06,3119.33,3062.5,3094.08,38.79
03/30/2021,3070.01,3073,3034,3055.29,-20.44
03/29/2021,3055.44,3091.25,3028.445,3075.73,23.7
03/26/2021,3044.06,3056.66,2996,3052.03,5.77
03/25/2021,3072.99,3109.78,3037.14,3046.26,-40.81
03/24/2021,3151.04,3160.31,3085.15,3087.07,-50.43
03/23/2021,3127,3182,3120.85,3137.5,26.63
03/22/2021,3067.85,3126.58,3060.05,3110.87,35.91
03/19/2021,3029.23,3077.285,3016.63,3074.96,46.97
03/18/2021,3101,3116.63,3025,3027.99,-107.74
03/17/2021,3073.22,3173.05,3070.22,3135.73,43.87
03/16/2021,3104.97,3128.91,3075.86,3091.86,10.18
03/15/2021,3074.57,3082.24,3032.09,3081.68,-7.81
03/12/2021,3075,3098.98,3045.5,3089.49,-24.1
03/11/2021,3104.01,3131.784,3082.93,3113.59,55.95
03/10/2021,3098.45,3116.46,3030.05,3057.64,-5.21
03/09/2021,3017.99,3090.96,3005.147,3062.85,110.9
03/08/2021,3015,3064.59,2951.31,2951.95,-48.51
03/05/2021,3005,3009,2881,3000.46,22.89
03/04/2021,3012,3058.13,2945.43,2977.57,-27.43
03/03/2021,3081.18,3107.775,2995,3005,-89.53
03/02/2021,3143.47,3163.52,3087.12,3094.53,-51.61
03/01/2021,3127.89,3149.56,3097.99,3146.14,53.21
02/26/2021,3095.2,3122.44,3036.7,3092.93,35.77
02/25/2021,3136.74,3178.26,3047.76,3057.16,-102.37
02/24/2021,3166.75,3171.23,3125.38,3159.53,-34.97
02/23/2021,3125.64,3204.73,3093.6,3194.5,13.76
02/22/2021,3208.13,3232.32,3172.26,3180.74,-69.16
02/19/2021,3328.23,3333.5,3245.75,3249.9,-78.33
02/18/2021,3282.42,3338,3273.94,3328.23,19.59
02/17/2021,3264.167,3320.91,3259.5,3308.64,39.69
02/16/2021,3254.05,3308.3,3253.591,3268.95,-8.76
02/12/2021,3250,3280.25,3233.31,3277.71,15.58
02/11/2021,3292,3292,3248.06,3262.13,-24.45
02/10/2021,3314,3317.955,3254,3286.58,-18.42
02/09/2021,3312.49,3338,3297.84,3305,-17.94
02/08/2021,3358.5,3365,3304,3322.94,-29.21
02/05/2021,3319,3377,3302.71,3352.15,21.15
02/04/2021,3330,3347,3277.75,3331,18.47
02/03/2021,3425.01,3434,3308.62,3312.53,-67.47
02/02/2021,3380,3427.74,3361.125,3380,37.12
02/01/2021,3242.36,3350.26,3235.025,3342.88,136.68
01/29/2021,3230,3236.99,3184.55,3206.2,-31.42
01/28/2021,3235.04,3301.68,3228.69,3237.62,5.04
01/27/2021,3341.49,3346.52,3207.08,3232.58,-93.55
01/26/2021,3296.36,3338,3282.87,3326.13,32.13
01/25/2021,3328.5,3363.89,3243.146,3294,1.77
01/22/2021,3304.31,3321.91,3283.164,3292.23,-14.76
01/21/2021,3293,3348.55,3289.567,3306.99,43.61
01/20/2021,3181.99,3279.8,3175,3263.38,142.62
01/19/2021,3107,3145,3096,3120.76,16.51
01/15/2021,3123.02,3142.545,3095.17,3104.25,-23.22
01/14/2021,3167.52,3178,3120.59,3127.47,-38.42
01/13/2021,3128.44,3189.95,3122.08,3165.89,45.06
01/12/2021,3120,3142.142,3086,3120.83,6.62
01/11/2021,3148.01,3156.384,3110,3114.21,-68.49
01/08/2021,3180,3190.64,3142.2,3182.7,20.54
01/07/2021,3157,3208.542,3155,3162.16,23.78
01/06/2021,3146.48,3197.509,3131.16,3138.38,-80.13
01/05/2021,3166.01,3223.38,3165.06,3218.51,31.88
01/04/2021,3270,3272,3144.02,3186.63,-70.3
12/31/2020,3275,3282.922,3241.2,3256.93,-28.92
12/30/2020,3341,3342.1,3282.47,3285.85,-36.15
12/29/2020,3309.94,3350.65,3281.223,3322,38.04
12/28/2020,3194,3304,3172.69,3283.96,111.27
12/24/2020,3193.9,3202,3169,3172.69,-12.58
12/23/2020,3205,3210.13,3184.17,3185.27,-21.25
12/22/2020,3202.84,3222,3180.08,3206.52,0.34
12/21/2020,3200.01,3226.967,3166,3206.18,4.53
12/18/2020,3243.99,3249.42,3171.6,3201.65,-34.43
12/17/2020,3250,3263.51,3221,3236.08,-4.88
12/16/2020,3176.01,3247,3163.68,3240.96,75.84
12/15/2020,3181.01,3188.5,3130.49,3165.12,8.15
12/14/2020,3143,3190.47,3126,3156.97,40.55
12/11/2020,3096.66,3118.67,3072.82,3116.42,14.93
12/10/2020,3088.99,3142.1,3076,3101.49,-2.71
12/09/2020,3167.89,3174.43,3088,3104.2,-73.09
12/08/2020,3158.9,3184.13,3120.02,3177.29,19.29
12/07/2020,3156.48,3180.76,3141.69,3158,-4.58
12/04/2020,3198.21,3198.21,3158.76,3162.58,-24.15
12/03/2020,3205.46,3228.64,3181.31,3186.73,-16.8
12/02/2020,3221.65,3232,3173.26,3203.53,-16.55
12/01/2020,3188.5,3248.95,3157.18,3220.08,52.04
11/30/2020,3208.48,3228.39,3125.55,3168.04,-27.3
11/27/2020,3211.26,3216.19,3190.05,3195.34,10.27
11/25/2020,3141.87,3198,3140.26,3185.07,67.01
11/24/2020,3100.5,3134.25,3086.258,3118.06,19.67
11/23/2020,3116.7,3139.745,3065.46,3098.39,-1.01
11/20/2020,3117.02,3132.89,3098.046,3099.4,-17.62
11/19/2020,3105.31,3125,3080.92,3117.02,11.56
11/18/2020,3134,3140,3105.1,3105.46,-30.2
11/17/2020,3183.54,3189.25,3135.26,3135.66,4.6
11/16/2020,3093.2,3142.7,3072.685,3131.06,2.25
11/13/2020,3122,3141.723,3085.39,3128.81,18.53
11/12/2020,3159.95,3175.88,3086.05,3110.28,-27.11
11/11/2020,3061.78,3139.145,3050,3137.39,102.37
11/10/2020,3095.02,3114,3019.483,3035.02,-108.72
11/09/2020,3211,3289,3112.106,3143.74,-167.63
11/06/2020,3304.64,3322,3232,3311.37,-10.63
11/05/2020,3319.97,3366.8,3288.88,3322,80.84
11/04/2020,3159.99,3244.85,3139.73,3241.16,192.75
11/03/2020,3018.53,3074.9,2980.98,3048.41,43.93
11/02/2020,3061.74,3079.705,2950.12,3004.48,-31.67
10/30/2020,3157.75,3167.004,3019,3036.15,-174.86
10/29/2020,3201.27,3257.25,3164,3211.01,48.23
10/28/2020,3249.3,3264.02,3162.47,3162.78,-123.55
10/27/2020,3224.94,3291.66,3211.3,3286.33,79.29
10/26/2020,3198.74,3282.98,3153.3,3207.04,2.64
10/23/2020,3191,3205.33,3140,3204.4,28
10/22/2020,3189.87,3198.75,3121.94,3176.4,-8.54
10/21/2020,3212.5,3233.875,3160,3184.94,-32.07
10/20/2020,3222.28,3266,3192.01,3217.01,9.8
10/19/2020,3299.61,3329,3192.735,3207.21,-65.5
10/16/2020,3363.23,3399.661,3160,3272.71,-65.94
10/15/2020,3292.01,3355.88,3280,3338.65,-25.06
10/14/2020,3447,3464.88,3340,3363.71,-79.92
10/13/2020,3467.99,3492.38,3424.217,3443.63,0.7
10/12/2020,3349.94,3496.24,3339.55,3442.93,156.28
10/09/2020,3210,3288.99,3197.83,3286.65,96.1
10/08/2020,3224.99,3233.294,3174.99,3190.55,-5.14
10/07/2020,3135,3200,3132.385,3195.69,95.73
10/06/2020,3165,3182,3090,3099.96,-99.24
10/05/2020,3145.84,3202.53,3140.85,3199.2,74.2
10/02/2020,3153.63,3195.796,3123,3125,-96.26
10/01/2020,3208,3224,3172,3221.26,72.53
09/30/2020,3141.14,3212.88,3133.99,3148.73,3.85
09/29/2020,3175.39,3188.26,3132.54,3144.88,-29.17
09/28/2020,3148.85,3175.04,3117.168,3174.05,78.92
09/25/2020,3054.86,3101.54,2999,3095.13,75.34
09/24/2020,2977.79,3069.3,2965,3019.79,19.93
09/23/2020,3120.43,3126.999,2992.376,2999.86,-129.13
09/22/2020,3033.83,3133.99,3000.2,3128.99,168.52
09/21/2020,2906.5,2962,2871,2960.47,5.56
09/18/2020,3031.74,3037.8,2905.54,2954.91,-53.82
09/17/2020,3009.25,3029.432,2972.55,3008.73,-69.37
09/16/2020,3179.99,3187.238,3074.15,3078.1,-78.03
09/15/2020,3136.16,3175.02,3108.92,3156.13,53.16
09/14/2020,3172.94,3187.39,3096,3102.97,-13.25
