Time,Open,High,Low,Last,Change,%Chg,Volume
04/09/2021,677.77,680.97,669.43,677.02,-6.78,-0.99%,21437000
04/08/2021,677.38,689.55,671.645,683.8,12.83,+1.91%,23924300
04/07/2021,687,691.38,667.84,670.97,-20.65,-2.99%,26309400
04/06/2021,690.3,696.55,681.37,691.62,0.57,+0.08%,28271800
04/05/2021,707.71,708.16,684.7,691.05,29.3,+4.43%,41842700
04/01/2021,688.37,692.4203,659.42,661.75,-6.18,-0.93%,35298300
03/31/2021,646.62,672,641.11,667.93,32.31,+5.08%,33337200
03/30/2021,601.75,637.66,591.01,635.62,24.33,+3.98%,39432300
03/29/2021,615.64,616.48,596.02,611.29,-7.42,-1.20%,28636900
03/26/2021,641.87,643.82,599.89,618.71,-21.68,-3.39%,33852800
03/25/2021,613,645.5,609.5,640.39,10.12,+1.61%,39224800
03/24/2021,667.91,668.02,630.11,630.27,-31.89,-4.82%,33795100
03/23/2021,675.77,677.8,657.51,662.16,-7.84,-1.17%,30491800
03/22/2021,684.59,699.62,668.75,670,15.13,+2.31%,39512200
03/19/2021,646.6,657.23,624.6201,654.87,1.71,+0.26%,42893900
03/18/2021,684.29,689.23,652,653.16,-48.65,-6.93%,33369000
03/17/2021,656.87,703.73,651.01,701.81,24.93,+3.68%,40372400
03/16/2021,703.35,707.92,671,676.88,-31.06,-4.39%,32195600
03/15/2021,694.09,713.18,684.04,707.94,14.21,+2.05%,29423400
03/12/2021,670,694.88,666.1394,693.73,-5.87,-0.84%,33583800
03/11/2021,699.4,702.5,677.18,699.6,31.54,+4.72%,36253800
03/10/2021,700.3,717.85,655.06,668.06,-5.52,-0.82%,60605600
03/09/2021,608.18,678.09,595.21,673.58,110.58,+19.64%,67523296
03/08/2021,600.55,620.125,558.79,563,-34.95,-5.84%,51786900
03/05/2021,626.06,627.8419,539.49,597.95,-23.49,-3.78%,89396400
03/04/2021,655.8,873.94,600,621.44,-31.76,-4.86%,65919500
03/03/2021,687.99,700.7,651.705,653.2,-33.24,-4.84%,30207900
03/02/2021,718.28,721.11,685,686.44,-31.99,-4.45%,23732100
03/01/2021,690.11,872,685.05,718.43,42.93,+6.36%,27136200
02/26/2021,700,706.7,659.51,675.5,-6.72,-0.99%,41089100
02/25/2021,726.15,737.2066,670.58,682.22,-59.8,-8.06%,39023800
02/24/2021,711.85,745,694.17,742.02,43.1799,+6.18%,36766900
02/23/2021,662.13,713.6099,619,698.8401,-15.6599,-2.19%,66606800
02/22/2021,762.64,768.5,710.2,714.5,-66.8,-8.55%,37269700
02/19/2021,795,796.7899,777.37,781.3,-6.08,-0.77%,18958200
02/18/2021,780.9,794.69,776.27,787.38,-10.77,-1.35%,17957000
02/17/2021,779.09,799.84,762.01,798.15,1.93,+0.24%,26078800
02/16/2021,818,821,792.44,796.22,-19.9,-2.44%,19802300
02/12/2021,801.26,817.33,785.3307,816.12,4.46,+0.55%,23768300
02/11/2021,812.44,829.8799,801.725,811.66,6.84,+0.85%,21622700
02/10/2021,843.64,844.82,800.02,804.82,-44.64,-5.26%,36216000
02/09/2021,855.12,859.8,841.75,849.46,-13.96,-1.62%,15157600
02/08/2021,869.67,877.77,854.75,863.42,11.19,+1.31%,20161700
02/05/2021,845,864.77,838.97,852.23,2.24,+0.26%,18566600
02/04/2021,855,856.5,833.42,849.99,-4.7,-0.55%,15812600
02/03/2021,877.02,878.08,853.0646,854.69,-18.1,-2.07%,18343500
02/02/2021,844.68,880.5,842.2006,872.79,32.98,+3.93%,24346200
02/01/2021,814.29,842,795.5601,839.81,46.28,+5.83%,25391300
01/29/2021,830,842.41,780.1,793.53,-41.9,-5.02%,34990700
01/28/2021,820,848,801,835.43,-28.73,-3.32%,26378000
01/27/2021,870.35,891.5,858.66,864.16,-18.93,-2.14%,27333900
01/26/2021,891.38,895.9,871.6,883.09,2.29,+0.26%,23131600
01/25/2021,855,900.4,838.8202,880.8,34.16,+4.03%,41173400
01/22/2021,834.31,848,828.62,846.64,1.65,+0.20%,20066400
01/21/2021,855,855.7199,841.4201,844.99,-5.46,-0.64%,20598100
01/20/2021,858.74,859.5,837.28,850.45,5.9,+0.70%,25665800
01/19/2021,837.8,850,833,844.55,18.39,+2.23%,25366900
01/15/2021,852,859.9,819.1,826.16,-18.84,-2.23%,38777500
